id,상세URL,가게,주소,카테고리,리본개수,레드리본 선정,서울 2025 선정,라벨,이미지URL,이미지파일,소개,X좌표,Y좌표,avg_quality,avg_friendliness,review_count
30639,https://www.bluer.co.kr/restaurants/30639,다이닝마,서울특별시 강남구 언주로152길 8 (신사동) 유일빌딩 2층,일반중식,3,N,Y,서울 2025 선정,https://www.bluer.co.kr/images/es_f1fa131ef8324c8ba133315f9acc71ec.png,images\30639_다이닝마.png,"중국 3대 진미로 뽑히는 샥스핀을 전문으로 하는 고급 중식당으로, 룸으로만 구성되어 있어 프라이빗하게 식사를 즐길 수 있다. 동충하초, 산삼, 자라, 제비집 등 고급 식자재를 활용하여 맛뿐만 아니라 건강까지 고려한 수준급 중식 요리를 선보인다.",127.0342687,37.52249875,0.3149331965568391,-0.12343697963903348,69
29083,https://www.bluer.co.kr/restaurants/29083,쵸이닷,서울특별시 강남구 도산대로 457 (청담동) 앙스돔빌딩 3층,"이노베이티브퀴진, 분자요리, 이탈리아식",3,Y,Y,레드리본 선정 서울 2025 선정,https://www.bluer.co.kr/images/es_d0546f2b0dd749b69a128dd78c9bba9b.jpg,images\29083_쵸이닷.jpg,최현석 셰프의 크리에이티브한 요리를 즐길 수 있는 레스토랑. 분자요리와 이탈리아 요리를 기반으로 한 창의적인 요리가 코스로 나온다. 생각지 못한 재기발랄한 플레이팅은 자칫 엄숙하게 느껴질 수 있는 파인다이닝에 위트로 작용한다. 메뉴는 계절이나 재료에 맞춰 주기적으로 바뀌며 요리에 걸맞은 와인을 곁들이는 와인페어링도 추천한다.,127.0465521,37.52444855,0.3775433544230101,0.537291550077498,100
4953,https://www.bluer.co.kr/restaurants/4953,비스트로드욘트빌,서울특별시 강남구 선릉로158길 13-7 (청담동) 이안빌딩 1층,프랑스식,3,N,Y,서울 2025 선정,https://www.bluer.co.kr/images/es_5a2c60f575f74a2b9defa78476ad724c.jpg,images\4953_비스트로드욘트빌.jpg,"편안한 분위기에서 와인과 프랑스 음식을 즐길 수 있는 곳. 클래식한 정통 프렌치 비스트로를 즐길 수 있다. 알라카르트 외에도 프리픽스 메뉴가 준비되어 있어 전채, 메인, 디저트에서 원하는 것을 선택해 주문할 수 있는 점이 매력적이다. 해산물 요리에 강점이 있으며 가격 대비 만족도도 뛰어나다.",127.0412332,37.52607423,0.5271863280030996,0.559317107900585,100
27144,https://www.bluer.co.kr/restaurants/27144,밍글스,서울특별시 강남구 도산대로67길 19 (청담동) 힐탑빌딩 2층,뉴코리안,3,N,Y,서울 2025 선정,https://www.bluer.co.kr/images/es_864204db95a147c991ec971272b3efc4.jpg,images\27144_밍글스.jpg,국내외에서 이름을 드높이고 있는 강민구 셰프의 뉴코리안 레스토랑. 사찰음식과 한식 장인에게 전수받은 전통 한식 기법을 현대적으로 재해석한 한식을 맛볼 수 있다. 완벽을 지향하는 육수 내기 등 기본기를 중요시하고 있다. 실내 분위기도 모던하고 쾌적하며 서비스도 나무랄 데 없다. 2020년에 홍콩에 오픈한 한식당 한식구가 큰 인기를 끄는 등 글로벌 셰프로서의 위엄을 보여준다.,127.04416,37.5253703,0.4619514606421507,0.3465803489493935,100
254,https://www.bluer.co.kr/restaurants/254,라미띠에,서울특별시 강남구 도산대로67길 30 (청담동) 2층,프랑스식,3,N,Y,서울 2025 선정,https://www.bluer.co.kr/images/es_fbc95901120048b4a1ab6d23079c56a0.jpg,images\254_라미띠에.jpg,서울의 프렌치 레스토랑을 얘기할 때 빼놓을 수 없는 곳. 장명식 셰프가 클래식한 스타일에 자신만의 섬세한 기법과 프레젠테이션을 가미하여 한층 모던하고 세련된 음식을 낸다.,127.0445733,37.52596453,0.43310303685435075,0.575058630357186,100
28167,https://www.bluer.co.kr/restaurants/28167,권숙수,서울특별시 강남구 압구정로80길 37 (청담동) 이에스빌딩 4층,모던한식,3,N,Y,서울 2025 선정,https://www.bluer.co.kr/images/es_c03a2e8289d44d18ae79e5b85cce5ed3.jpg,images\28167_권숙수.jpg,"한식을 양식의 형식으로 풀어낸 모던한식 스타일을 선보이는 권우중 셰프의 한식당. 직접 담근 장과 김치, 식초를 사용하여 모던하면서도 한식 전통의 맛을 잘 살리고 있다는 평을 받고 있다. 전통적인 1인 독상을 구현한 점도 독특하다. 여러 종류의 김치로 구성된 김치 카트를 선보이는 등 끊임없이 새로운 모습을 보여준다.",127.0435776,37.52437563,0.528390160924755,0.4297000760785662,100
3998,https://www.bluer.co.kr/restaurants/3998,레스쁘아,"서울특별시 강남구 도산대로56길 10 (청담동) 2, 3층",프랑스식,3,Y,Y,레드리본 선정 서울 2025 선정,https://www.bluer.co.kr/assets/image/restaurant/img_restaruant_no_image.png?v=3,images\3998_레스쁘아.png,"비스트로를 표방하는 클래식 프렌치 레스토랑. 정통 프렌치 레시피를 기반으로 한 임기학 셰프의 요리를 맛볼 수 있다. 2025년 9월, 인근으로 이전하여 리뉴얼 오픈하면서 분위기가 한층 업그레이드 되었다.",127.0400592,37.52244377,0.10941621076199226,-0.08672378157429836,100
4627,https://www.bluer.co.kr/restaurants/4627,홍보각,서울특별시 강남구 봉은사로 130 (역삼동) 노보텔앰배서더강남서울 LL층,일반중식,3,Y,Y,레드리본 선정 서울 2025 선정,https://www.bluer.co.kr/images/es_03b487d90da3464a82f37960804ade28.jpg,images\4627_홍보각.jpg,"국내 중식의 대가인 여경래 셰프가 2023년 이전하여 오픈한 중식 파인 다이닝 레스토랑. 고급스러운 분위기의 인테리어에서 정통 중식을 맛볼 수 있다. 여경래 셰프의 시그니처 메뉴인 불도장, 모자새우 등을 선보인다.",127.0289194,37.50528056,0.5411260888946278,0.31790790567174554,100
1534,https://www.bluer.co.kr/restaurants/1534,낙원,서울특별시 강서구 방화대로 94 (외발산동) 메이필드호텔 1층,"소갈비, 소고기구이",3,Y,Y,레드리본 선정 서울 2025 선정,https://www.bluer.co.kr/images/1534_thumb.jpg,images\1534_낙원.jpg,갈비를 비롯한 한우구이를 전문으로 하고 있으며 가격대가 높은 만큼 품격 있는 분위기와 서비스를 즐길 수 있다. 재료 본연의 맛을 살린 음식의 맛이 좋다. 룸이 여러 개 있어 비즈니스 미팅에도 좋다. 낙원 안쪽에는 한정식집 봉래헌이 있다.,126.8195071,37.54789572,0.39881272840741944,0.38352016142981,400
472,https://www.bluer.co.kr/restaurants/472,삼원가든,서울특별시 강남구 언주로 835 (신사동),"소갈비, 소고기구이, 한우오마카세",3,Y,Y,레드리본 선정 서울 2025 선정,https://www.bluer.co.kr/images/es_54ecad87f09e468cae7a6e08fef656ef.jpg,images\472_삼원가든.jpg,"50여 년 전통의 우리나라 대표 갈빗집. 대표 메뉴인 양념 갈비와 함께 나오는 반찬도 정갈하며 갈비 외에 등심이나 불고기, 단품 요리도 수준급이다. 예약제로 운영되는 특실에서는 다양한 한정식과, 한우 모둠 구이가 나오는 차별화된 코스로 진행된다. 특실 예약은 02-548-3037로 문의하면 된다.",127.0325303,37.52493042,0.16922603189495616,-0.08861234784126283,100
